snapshot_version,cutoff_date,association_id,disease_code,pmid,subject_type,subject_id,source_field,evidence_text,evidence_start,evidence_end,confidence
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,entity,AD-R-001-E01,title,Observations in APP bitransgenic mice suggest that diffuse and compact plaques form via independent processes in Alzheimer's disease.,0,133,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,entity,AD-R-001-E02,abstract,Studies of familial Alzheimer's disease suggest that misfolding and aggregation of amyloid-β (Aβ) peptides initiate the pathogenesis.,0,133,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,geography,AD-R-001-G01,affiliation,"Department of Public Health and Caring Sciences/Molecular Geriatrics, Uppsala University, Uppsala, Sweden.",0,106,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,method_model,AD-R-001-M01,abstract,"However, APP processing, when compared with tg-Swe, remains unchanged in young bitransgenic mice, whereas wild-type Aβ42 aggregation is accelerated and fibril architecture is altered in vitro and in vivo when a low level of Arctic Aβ42 is introduced.",614,864,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,outcome,AD-R-001-O01,abstract,"The Arctic mutation of Aβ precursor protein (APP) results in AD, and Arctic Aβ is more prone to form Aβ protofibrils and extracellular deposits.",134,278,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,outcome,AD-R-001-O02,abstract,Herein is demonstrated that the burden of diffuse Aβ deposits but not compact plaques is increased when tg-Swe mice are crossed with tg-ArcSwe mice synthesizing low levels of Arctic Aβ.,279,464,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,outcome,AD-R-001-O03,abstract,"Thus, the increased number of diffuse deposits is likely due to physical interactions between Arctic Aβ and wild-type Aβ42.",865,988,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,outcome,AD-R-001-O04,abstract,The selective increase of a single type of parenchymal Aβ deposit suggests that different pathways lead to formation of diffuse and compact plaques.,989,1137,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-001,AD,21514441,population,AD-R-001-P01,abstract,These findings could have general implications for Alzheimer's disease pathogenesis and particular relevance to patients heterozygous for the Arctic APP mutation.,1138,1300,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,geography,AD-R-002-G01,affiliation,"Department of Neurology and Psychiatry, Sapienza University of Rome, Rome, Italy.",0,81,high
